region_id,matched_legend_id,match_score,symbol_final,symbol_terminal,symbol_html,symbol_latex,symbol_conf,legend_text,legend_color_name,legend_color_rgb,area_px,centroid_x,centroid_y
2898,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1521,5812.0,5022.428571428572
2899,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1681,5832.0,5022.428571428572
2900,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1521,5852.0,5022.428571428572
2901,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1681,5872.0,5022.428571428572
2902,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1521,5892.0,5022.428571428572
2903,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1681,5912.0,5022.428571428572
2904,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1601,5932.285714285715,5022.428571428572
2905,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1605,5953.666666666667,5017.222222222223
2906,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",2107,5976.571428571428,5021.714285714285
2907,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",3191,6009.909090909091,5034.090909090909
2908,34,0.7619149569327304,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",3505,1167.923076923077,5026.692307692308
2909,34,0.7457385346112023,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1436,1206.5,5024.0
2910,34,0.7478859491357532,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1421,1224.7142857142858,5020.857142857143
2911,34,0.7478859491357532,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1492,1245.0,5020.857142857143
2912,34,0.7478859491357532,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1421,1265.2857142857142,5020.857142857143
2913,34,0.7478859491357532,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1350,1285.0,5020.857142857143
2914,34,0.7478859491357532,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1421,1304.7142857142858,5020.857142857143
2915,34,0.7478859491357532,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1492,1325.0,5020.857142857143
2916,34,0.7478859491357532,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1350,1345.0,5020.857142857143
2917,34,0.7464608822974286,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1502,1364.8333333333333,5024.0
2918,34,0.7464608822974286,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1359,1385.1666666666667,5024.0
2919,34,0.7464479852942106,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1501,1403.857142857143,5020.714285714285
2920,34,0.7459884958558349,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1363,1426.5,5024.0
2921,34,0.7478859491357532,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1492,1445.0,5020.857142857143
2922,34,0.7478859491357532,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1350,1465.0,5020.857142857143
2923,34,0.7478859491357532,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1421,1484.7142857142858,5020.857142857143
2924,34,0.7478859491357532,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1492,1505.0,5020.857142857143
2925,34,0.745467787515549,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1367,1523.4,5028.6
2926,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1575,5223.777777777777,5026.333333333333
2927,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1702,5246.0,5023.714285714285
2928,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1621,5266.285714285715,5023.714285714285
2929,34,0.7480608143450012,Unknown,Unknown,,Unknown,0.0,,lavender,"[235, 235, 235]",1540,5286.0,5023.714285714285
